Row Labels,Monetory,Frequency,Max of InvoiceDate,Current Date,Recency,Monetory Score,Frequency Score,Recency Score,RFM ,RFM Score,Segment Name,,,,
12346,0,2,18-01-2011,09-12-2011,325,0,0,1,1,0,immediate Attention,,,RMF Score,customer segment
12347,4310,182,07-12-2011,09-12-2011,2,9,8,10,27,9,Top Customer,,,10,Top Customer
12348,1797.24,31,25-09-2011,09-12-2011,75,7,4,4,15,5,Loyal customer,,,9,Top Customer
12349,1757.55,73,21-11-2011,09-12-2011,18,7,6,8,21,7,Loyal customer,,,8,Top Customer
12350,334.4,17,02-02-2011,09-12-2011,310,2,2,1,5,0,immediate Attention,,,7,Loyal customer
12352,1545.41,95,03-11-2011,09-12-2011,36,7,7,6,20,7,Loyal customer,,,6,Loyal customer
12353,89,4,19-05-2011,09-12-2011,204,0,0,2,2,0,immediate Attention,,,5,Loyal customer
12354,1079.4,58,21-04-2011,09-12-2011,232,6,5,2,13,4,At Risk/ Need Attention,,,4,At Risk/ Need Attention
12355,459.4,13,09-05-2011,09-12-2011,214,3,1,2,6,1,At Risk/ Need Attention,,,3,At Risk/ Need Attention
12356,2811.43,59,17-11-2011,09-12-2011,22,8,6,7,21,7,Loyal customer,,,2,At Risk/ Need Attention
12357,6207.67,131,06-11-2011,09-12-2011,33,9,8,6,23,8,Top Customer,,,1,At Risk/ Need Attention
12358,1168.06,19,08-12-2011,09-12-2011,1,6,2,10,18,6,Loyal customer,,,0,immediate Attention
12359,6245.53,254,02-12-2011,09-12-2011,7,9,9,9,27,9,Top Customer,,,,
12360,2662.06,129,18-10-2011,09-12-2011,52,8,8,5,21,7,Loyal customer,,,Current Date,=MAX(D:D)
12361,189.9,10,25-02-2011,09-12-2011,287,1,1,1,3,0,immediate Attention,,,Recency,"=DATEDIF(D2,E2,""D"")"
12362,5154.58,274,06-12-2011,09-12-2011,3,9,9,10,28,9,Top Customer,,,Monetory,"=PERCENTRANK.INC($B$2:$B$4373,B2,1)*10"
12363,552,23,22-08-2011,09-12-2011,109,4,3,3,10,3,At Risk/ Need Attention,,,FrequencyRFM,"=PERCENTRANK.INC($C$2:$C$4373,C2,1)*10"
12364,1313.1,85,02-12-2011,09-12-2011,7,7,6,9,22,7,Loyal customer,,,RFM Score,"=(1-PERCENTRANK.INC($F$2:$F$4373,F2,1))*10"
12365,320.69,23,21-02-2011,09-12-2011,291,2,3,1,6,1,At Risk/ Need Attention,,,RFM ,=SUM(G2:I2)
12367,168.9,11,05-12-2011,09-12-2011,4,1,1,10,12,3,At Risk/ Need Attention,,,,
12370,3545.69,167,19-10-2011,09-12-2011,51,9,8,5,22,7,Loyal customer,,,,
12371,1887.96,63,26-10-2011,09-12-2011,44,7,6,6,19,6,Loyal customer,,,,
12372,1298.04,52,29-09-2011,09-12-2011,71,6,5,5,16,5,Loyal customer,,,,
12373,364.6,14,01-02-2011,09-12-2011,311,3,1,1,5,0,immediate Attention,,,,
12374,742.93,33,14-11-2011,09-12-2011,25,5,4,7,16,5,Loyal customer,,,,
12375,455.42,18,07-12-2011,09-12-2011,2,3,2,10,15,5,Loyal customer,,,,
12377,1628.12,77,28-01-2011,09-12-2011,315,7,6,1,14,4,At Risk/ Need Attention,,,,
12378,4008.62,219,02-08-2011,09-12-2011,129,9,9,3,21,7,Loyal customer,,,,
12379,850.29,41,19-09-2011,09-12-2011,81,5,4,4,13,4,At Risk/ Need Attention,,,,
12380,2720.56,105,18-11-2011,09-12-2011,21,8,7,8,23,8,Top Customer,,,,
12381,1803.96,91,05-12-2011,09-12-2011,4,7,7,10,24,8,Top Customer,,,,
12383,1839.31,100,08-06-2011,09-12-2011,184,7,7,2,16,5,Loyal customer,,,,
12384,566.16,30,11-11-2011,09-12-2011,28,4,4,7,15,5,Loyal customer,,,,
12386,401.9,10,06-01-2011,09-12-2011,337,3,1,1,5,0,immediate Attention,,,,
12388,2780.66,100,24-11-2011,09-12-2011,15,8,7,8,23,8,Top Customer,,,,
12390,549.84,32,21-09-2011,09-12-2011,79,4,4,4,12,3,At Risk/ Need Attention,,,,
12391,460.89,100,18-11-2011,09-12-2011,21,3,7,8,18,6,Loyal customer,,,,
12393,1582.6,64,28-09-2011,09-12-2011,72,7,6,4,17,5,Loyal customer,,,,
12394,1272.48,27,07-10-2011,09-12-2011,63,6,3,5,14,4,At Risk/ Need Attention,,,,
12395,2998.28,159,24-11-2011,09-12-2011,15,8,8,8,24,8,Top Customer,,,,
12397,2409.9,126,04-11-2011,09-12-2011,35,8,8,6,22,7,Loyal customer,,,,
12398,1635.66,85,25-10-2011,09-12-2011,45,7,6,6,19,6,Loyal customer,,,,
12399,1108.65,59,12-08-2011,09-12-2011,119,6,6,3,15,5,Loyal customer,,,,
12401,84.3,5,09-02-2011,09-12-2011,303,0,0,1,1,0,immediate Attention,,,,
12402,225.6,11,20-01-2011,09-12-2011,323,1,1,1,3,0,immediate Attention,,,,
12403,409.7,6,21-10-2011,09-12-2011,49,3,0,6,9,2,At Risk/ Need Attention,,,,
12405,1710.39,54,14-07-2011,09-12-2011,148,7,5,3,15,5,Loyal customer,,,,
12406,3280.75,108,17-11-2011,09-12-2011,22,8,7,7,22,7,Loyal customer,,,,
12407,1708.12,77,21-10-2011,09-12-2011,49,7,6,6,19,6,Loyal customer,,,,
12408,2842.57,113,07-11-2011,09-12-2011,32,8,7,6,21,7,Loyal customer,,,,
12409,11056.93,114,22-09-2011,09-12-2011,78,9,7,4,20,7,Loyal customer,,,,
12410,681.08,28,11-02-2011,09-12-2011,301,5,3,1,9,2,At Risk/ Need Attention,,,,
12412,1226.88,61,26-09-2011,09-12-2011,74,6,6,4,16,5,Loyal customer,,,,
12413,694.15,40,04-10-2011,09-12-2011,66,5,4,5,14,4,At Risk/ Need Attention,,,,
12414,562.41,18,06-05-2011,09-12-2011,217,4,2,2,8,2,At Risk/ Need Attention,,,,
12415,123725.45,778,15-11-2011,09-12-2011,24,9,9,7,25,8,Top Customer,,,,
12417,3578.8,198,06-12-2011,09-12-2011,3,9,8,10,27,9,Top Customer,,,,
12418,668.58,34,19-08-2011,09-12-2011,112,5,4,3,12,3,At Risk/ Need Attention,,,,
12420,600.39,29,07-10-2011,09-12-2011,63,4,3,5,12,3,At Risk/ Need Attention,,,,
12421,806.27,46,24-11-2011,09-12-2011,15,5,5,8,18,6,Loyal customer,,,,
12422,803.56,39,05-09-2011,09-12-2011,95,5,4,4,13,4,At Risk/ Need Attention,,,,
12423,1849.11,126,09-12-2011,09-12-2011,0,7,8,10,25,8,Top Customer,,,,
12424,1760.96,30,30-06-2011,09-12-2011,162,7,4,3,14,4,At Risk/ Need Attention,,,,
12425,777.2,36,22-09-2011,09-12-2011,78,5,4,4,13,4,At Risk/ Need Attention,,,,
12426,582.73,30,29-05-2011,09-12-2011,194,4,4,2,10,3,At Risk/ Need Attention,,,,
12427,708.37,35,28-11-2011,09-12-2011,11,5,4,9,18,6,Loyal customer,,,,
12428,7877.2,300,14-11-2011,09-12-2011,25,9,9,7,25,8,Top Customer,,,,
12429,3750.4,97,30-11-2011,09-12-2011,9,9,7,9,25,8,Top Customer,,,,
12430,256.4,11,27-10-2011,09-12-2011,43,2,1,6,9,2,At Risk/ Need Attention,,,,
12431,6416.39,240,04-11-2011,09-12-2011,35,9,9,6,24,8,Top Customer,,,,
12432,5059.32,108,28-10-2011,09-12-2011,42,9,7,6,22,7,Loyal customer,,,,
12433,13375.87,420,09-12-2011,09-12-2011,0,9,9,10,28,9,Top Customer,,,,
12434,765.19,54,16-09-2011,09-12-2011,84,5,5,4,14,4,At Risk/ Need Attention,,,,
12435,7829.89,36,21-09-2011,09-12-2011,79,9,4,4,17,5,Loyal customer,,,,
12436,509.01,16,01-09-2011,09-12-2011,99,4,2,4,10,3,At Risk/ Need Attention,,,,
12437,4896.66,201,08-12-2011,09-12-2011,1,9,8,10,27,9,Top Customer,,,,
12438,2906.85,98,25-11-2011,09-12-2011,14,8,7,8,23,8,Top Customer,,,,
12441,173.55,11,08-12-2010,09-12-2011,366,1,1,1,3,0,immediate Attention,,,,
